UserID,Timestamp,Accuracy
6420063,2024-10-05 05:10:08.778761+00:00,66.09%
6420063,2024-10-05 05:10:08.962497+00:00,65.13%
6420063,2024-10-05 05:10:09.149043+00:00,62.54%
6420063,2024-10-05 05:10:09.333325+00:00,63.94%
6420063,2024-10-05 05:10:09.517358+00:00,62.17%
6420063,2024-10-05 05:10:09.702403+00:00,59.55%
6420063,2024-10-05 05:10:09.888178+00:00,60.90%
6420063,2024-10-05 05:10:10.073664+00:00,65.34%
6420063,2024-10-05 05:10:10.258863+00:00,64.17%
6420063,2024-10-05 05:10:10.443060+00:00,65.97%
6420063,2024-10-05 05:10:10.629152+00:00,66.14%
6420063,2024-10-05 05:10:10.813745+00:00,66.54%
6420063,2024-10-05 05:10:10.998805+00:00,63.12%
6420063,2024-10-05 05:10:11.183609+00:00,59.10%
6420063,2024-10-05 05:10:11.368684+00:00,59.33%
6420063,2024-10-05 05:10:11.555885+00:00,59.83%
6420063,2024-10-05 05:10:11.742360+00:00,57.35%
6420063,2024-10-05 05:10:11.927134+00:00,57.18%
6420063,2024-10-05 05:10:12.114033+00:00,55.60%
6420063,2024-10-05 05:10:12.296008+00:00,57.52%
6420063,2024-10-05 05:10:12.480638+00:00,58.33%
6420063,2024-10-05 05:10:12.666763+00:00,57.61%
6420063,2024-10-05 05:10:12.854078+00:00,57.10%
6420063,2024-10-05 05:10:13.041292+00:00,48.81%
6420063,2024-10-05 05:10:13.225742+00:00,45.60%
6420063,2024-10-05 05:10:13.413171+00:00,43.55%
6420063,2024-10-05 05:10:13.597827+00:00,48.57%
6420063,2024-10-05 05:10:13.784574+00:00,51.61%
6420063,2024-10-05 05:10:13.972166+00:00,55.36%
6420063,2024-10-05 05:10:14.158284+00:00,56.93%
6420063,2024-10-05 05:10:14.344941+00:00,58.34%
6420063,2024-10-05 05:10:14.530433+00:00,58.26%
6420063,2024-10-05 05:10:14.717180+00:00,59.62%
6420063,2024-10-05 05:10:14.901901+00:00,57.04%
6420063,2024-10-05 05:10:15.088630+00:00,57.60%
6420063,2024-10-05 05:10:15.273466+00:00,57.22%
6420063,2024-10-05 05:10:15.460352+00:00,58.38%
6420063,2024-10-05 05:10:15.645731+00:00,50.01%
6420063,2024-10-05 05:10:15.831977+00:00,45.46%
6420063,2024-10-05 05:10:16.016817+00:00,44.16%
6420063,2024-10-05 05:10:16.201602+00:00,46.92%
6420063,2024-10-05 05:10:16.387605+00:00,47.65%
6420063,2024-10-05 05:10:16.573140+00:00,52.36%
6420063,2024-10-05 05:10:16.760132+00:00,58.50%
6420063,2024-10-05 05:10:16.944970+00:00,58.76%
6420063,2024-10-05 05:10:17.129904+00:00,58.31%
6420063,2024-10-05 05:10:17.314676+00:00,58.70%
6420063,2024-10-05 05:10:17.501598+00:00,56.15%
6420063,2024-10-05 05:10:17.686385+00:00,56.15%
6420063,2024-10-05 05:10:17.871659+00:00,41.87%
6420063,2024-10-05 05:10:18.243096+00:00,41.72%
6420063,2024-10-05 05:10:18.430197+00:00,43.80%
6420063,2024-10-05 05:10:18.616161+00:00,43.81%
6420063,2024-10-05 05:10:18.801203+00:00,45.14%
6420063,2024-10-05 05:10:18.985739+00:00,42.14%
6420063,2024-10-05 05:10:19.171962+00:00,43.61%
6420063,2024-10-05 05:10:19.360234+00:00,41.71%
6420063,2024-10-05 05:10:19.544169+00:00,46.60%
6420063,2024-10-05 05:10:19.729509+00:00,62.78%
6420063,2024-10-05 05:10:19.914491+00:00,62.17%
6420063,2024-10-05 05:10:20.101922+00:00,59.76%
6420063,2024-10-05 05:10:20.286696+00:00,59.42%
6420063,2024-10-05 05:10:20.472197+00:00,55.77%
6420063,2024-10-05 05:10:20.658273+00:00,56.90%
